UGC4278         08 13 58.9  +45 44 34   7.60  13.10   7   0.05  14.43  0.05  14.20  0.04
UGC4305         08 19 04.0  +70 43 09   3.38  11.10  10   0.03  12.32  0.05  12.22  0.03
NGC2552         08 19 20.1  +50 00 25   7.70  12.60   9   0.05  14.27  0.05  14.09  0.03
M81dwA          08 23 56.0  +71 01 45   3.44  18.69  10   0.02  17.30  0.05  17.29  0.03
SDSSJ0825+3532  08 25 55.5  +35 32 32   9.30  18.05  11   0.05  99.99 99.99  18.18  0.04
UGC4426         08 28 28.4  +41 51 24  10.28  15.00  10   0.04  16.72  0.06  16.48  0.03
UGC4459         08 34 07.2  +66 10 54   3.61  14.78  10   0.04  15.27  0.05  15.30  0.04
ESO495-G021     08 36 15.4  -26 24 34   7.80  12.46  11   0.11  99.99 99.99  99.99 99.99
UGC4483         08 37 03.0  +69 46 31   3.41  15.27  10   0.03  15.71  0.05  15.75  0.03
NGC2683         08 52 41.4  +33 25 14   7.70  10.64   3   0.03  14.14  0.05  13.52  0.05
UGC4704         08 59 00.3  +39 12 36   7.80  15.30   8   0.03  15.85  0.07  15.62  0.04
LSBCD564-08     09 02 53.8  +20 04 32   8.67  16.90  10   0.03  18.99  0.07  18.57  0.05
UGC4787         09 07 34.9  +33 16 36   6.50  15.40   8   0.02  15.99  0.05  15.57  0.04
LSBCD634-03     09 08 53.5  +14 34 55   9.46  17.50  10   0.04  21.85 99.99  21.71 99.99
UGCA148         09 09 46.5  -23 00 33   9.80  15.30  10   0.17  99.99 99.99  99.99 99.99
NGC2784         09 12 19.5  -24 10 21   9.80  11.30  -2   0.21  15.49  0.37  14.56  0.04
UGCA153         09 13 12.1  -19 24 31   6.50  15.40  10   0.09  16.33  0.13  16.01  0.07
NGC2835         09 17 52.9  -22 21 18   8.00  11.00   5   0.10  12.35  0.05  11.97  0.04
LSBCD565-06     09 19 30.0  +21 36 12   9.08  16.95  10   0.04  21.77 99.99  19.23  0.24
UGCA162         09 21 28.1  -22 30 07   7.50  15.20   9   0.07  99.99 99.99  15.76  0.09
UGC4998         09 25 12.1  +68 22 59  10.50  14.72  10   0.06  17.99  0.06  17.35  0.04
NGC2915         09 26 11.5  -76 37 36   3.78  13.20   0   0.27  13.31  0.15  13.28  0.03
NGC2903         09 32 10.1  +21 30 04   8.90   9.68   4   0.03  12.29  0.05  11.74  0.03
UGC5076         09 32 36.4  +51 52 19   8.30  15.20  10   0.02  99.99 99.99  99.99 99.99
CGCG035-007     09 34 44.9  +06 25 32   5.20  15.50   5   0.04  17.14  0.05  16.74  0.03
LeoT            09 34 53.4  +17 03 05   0.42  16.40  10   0.03  18.85  0.88  18.61  3.45
UGC5151         09 40 27.1  +48 20 15  10.70  13.80  10   0.02  99.99 99.99  99.99 99.99
UGC5139         09 40 32.3  +71 10 56   3.90  14.17  10   0.05  14.60  0.09  14.50  0.05
IC559           09 44 43.9  +09 36 55   4.90  14.80   5   0.03  16.45  0.05  16.08  0.03
UGC5209         09 45 04.2  +32 14 18   6.40  16.06  10   0.02  18.10  0.09  17.68  0.05
NGC2976         09 47 15.3  +67 55 00   3.56  11.24   5   0.07  13.17  0.05  12.69  0.03
UGC5272b        09 50 19.4  +31 27 21   7.10  17.76  10   0.02  18.40  0.06  18.35  0.04
UGC5272         09 50 22.4  +31 29 16   7.10  15.41  10   0.02  14.94  0.05  14.87  0.03
UGC5288         09 51 17.0  +07 49 39   6.80  14.32   8   0.03  15.73  0.05  15.52  0.03
NGC3037         09 51 23.5  -27 00 36   7.90  13.70   9   0.09  15.16  0.05  14.57  0.03
BK3N            09 53 48.5  +68 58 09   3.86  18.78  10   0.08  18.92  0.06  18.88  0.04
NGC3031         09 55 33.2  +69 03 55   3.63   7.89   2   0.08  10.75  0.05  10.44  0.03
NGC3034         09 55 52.2  +69 40 47   3.37   9.30   7   0.16  12.50  0.19  11.44  0.03
UGC5340         09 56 45.7  +28 49 35   5.90  14.80  10   0.02  15.07  0.05  15.10  0.03
KDG61           09 57 03.1  +68 35 31   3.49  15.17  -6   0.07  22.23  0.33  19.65  0.04
UGC5336         09 57 32.0  +69 02 45   3.61  14.30  10   0.08  14.95  0.08  14.80  0.09
ESO435-G016     09 58 46.2  -28 37 19   9.10  13.60   3   0.10  15.45  0.09  14.76  0.03
ESO435-IG020    09 59 20.7  -28 07 54   9.00  14.40  10   0.09  14.89  0.05  14.51  0.04
UGC5364         09 59 26.4  +30 44 47   0.69  12.90  10   0.02  14.55  0.05  14.24  0.03
UGC5373         10 00 00.1  +05 19 56   1.39  11.80  10   0.03  13.68  0.05  13.46  0.05
UGCA193         10 02 36.0  -06 00 49   9.70  14.84   7   0.04  16.36  0.05  16.05  0.03
NGC3109         10 03 06.6  -26 09 32   1.28  10.39   9   0.07  11.37  0.19  11.09  0.10
NGC3077         10 03 20.6  +68 44 04   3.83  10.60   6   0.07  99.99 99.99  99.99 99.99
UGCA196         10 03 41.8  -27 01 40   8.80  13.40   6   0.08  14.52  0.09  14.15  0.08
NGC3113         10 04 26.1  -28 26 39  10.50  13.30   7   0.10  99.99 99.99  99.99 99.99
UGC5427         10 04 41.0  +29 21 55   7.10  15.90   8   0.02  16.20  0.05  15.96  0.03
UGC5428         10 05 06.4  +66 33 32   3.53  15.95  10   0.10  99.99 99.99  17.82  0.09
NGC3115         10 05 14.0  -07 43 07   9.70   9.87  -3   0.05  15.75  0.21  14.11  0.09
UGC5423         10 05 30.6  +70 21 52   5.30  15.20  10   0.08  16.58  0.07  16.38  0.04
NGC3125         10 06 33.6  -29 56 09  10.80  13.50  11   0.08  14.37  0.08  13.99  0.04
UGC5453         10 07 07.3  +15 59 04   9.30  15.80  10   0.03  99.99 99.99  99.99 99.99
UGC5451         10 07 19.0  +47 00 22   8.70  14.40  10   0.01  16.04  0.06  15.66  0.04
UGC5456         10 07 19.6  +10 21 46   3.80  13.70   5   0.04  14.96  0.05  14.62  0.03
KUG1004+392     10 07 23.0  +38 58 10   7.80  16.00  10   0.01  16.37  0.06  16.27  0.04
NGC3137         10 09 07.5  -29 03 52  10.80  12.10   6   0.07  99.99 99.99  99.99 99.99
SextansA        10 11 00.8  -04 41 34   1.32  11.86  10   0.04  12.55  0.05  12.52  0.03
NGC3175         10 14 42.1  -28 52 19  10.70  12.13   2   0.07  16.06  0.07  15.02  0.04
NGC3239         10 25 05.6  +17 09 37   8.30  11.70   9   0.03  12.80  0.05  12.58  0.03
UGC5672         10 28 20.9  +22 34 17   6.30  15.10   5   0.02  17.20  0.05  16.60  0.03
UGC5666         10 28 21.2  +68 24 43   3.81  10.80   9   0.04  12.13  0.06  12.09  0.04
UGC5692         10 30 35.0  +70 37 07   3.80  13.71   9   0.04  16.42  0.05  15.76  0.03
NGC3274         10 32 17.1  +27 40 07   6.50  13.20   7   0.02  14.23  0.06  14.02  0.03
UGC5740         10 34 45.8  +50 46 06   9.30  15.60   9   0.02  15.77  0.06  15.60  0.04
UGCA212         10 35 23.2  -24 45 15  10.10  13.20   8   0.06  14.25  0.06  13.96  0.04
NGC3299         10 36 23.8  +12 42 27  10.40  14.10   8   0.02  16.27  0.05  15.72  0.04
UGC5764         10 36 43.3  +31 32 48   7.10  15.20  10   0.02  16.24  0.05  16.15  0.04
UGC5797         10 39 25.2  +01 43 05   6.80  15.00  10   0.03  16.85  0.05  16.42  0.03
IC625           10 42 38.0  -23 56 08  10.10  13.80   5   0.07  15.13  0.06  14.70  0.04
UGC5829         10 42 42.2  +34 26 56   7.90  13.70  10   0.02  13.96  0.05  13.89  0.03
NGC3344         10 43 30.9  +24 55 22   6.60  10.40   4   0.03  12.36  0.05  12.06  0.03
NGC3351         10 43 57.8  +11 42 14  10.00  10.53   3   0.03  13.27  0.05  12.72  0.03
NGC3365         10 46 12.6  +01 48 48  10.50  13.20   6   0.05  15.30  0.10  14.84  0.03
NGC3368         10 46 45.7  +11 49 12  10.52  10.10   2   0.03  14.00  0.07  13.36  0.04
UGC5889         10 47 22.3  +14 04 10   9.30  14.20   9   0.03  16.30  0.05  15.87  0.05
UGC5917         10 48 53.9  +46 43 14  10.30  16.10  10   0.02  16.55  0.06  16.14  0.04
UGC5923         10 49 07.6  +06 55 02   7.20  14.00   0   0.03  17.27  0.05  16.74  0.03
UGC5918         10 49 36.5  +65 31 50   7.40  15.22  10   0.01  16.41  0.31  16.16  0.09
NGC3412         10 50 53.3  +13 24 44  10.40  11.40  -2   0.03  18.21  0.16  15.85  0.04
ESO376-G022     10 51 21.0  -34 25 50   9.00  14.20  10   0.09  99.99 99.99  99.99 99.99
NGC3432         10 52 31.3  +36 37 11   7.90  11.70   9   0.01  13.27  0.05  12.84  0.03
KDG73           10 52 57.1  +69 32 58   4.03  17.28  10   0.02  18.93  0.06  18.71  0.04
NGC3489         11 00 18.6  +13 54 04  10.40  11.10  -1   0.02  16.54  0.08  14.81  0.03
NGC3486         11 00 23.9  +28 58 30   8.20  11.05   5   0.02  12.54  0.05  12.30  0.03
UGC6102         11 01 48.4  +28 41 21   8.50  15.50  10   0.03  16.53  0.06  16.41  0.04
NGC3510         11 03 43.4  +28 53 13   8.60  14.00   8   0.03  14.63  0.05  14.35  0.03
ESO377-G003     11 03 55.2  -34 21 30   9.20  14.90   4   0.06  15.94  0.06  15.69  0.04
MRK36           11 04 58.5  +29 08 22   7.80  15.70  11   0.03  15.64  0.05  15.62  0.03
NGC3521         11 05 48.6  +00 02 09   8.00   9.83   4   0.06  13.02  0.06  12.26  0.04
UGC6161         11 06 49.2  +43 43 24  10.30  15.00   8   0.01  15.37  0.05  15.18  0.03
MESSIER108      11 11 31.0  +55 40 27  10.40  10.69   6   0.02  13.34  0.05  12.85  0.03
